Transaction_ID,Date,Time,Amount,Merchant,Category,Fraud,Fraud_Reason
T00066,2025-01-19,02:08,670,Shell,Entertainment,1,Odd transaction hour
T00067,2025-01-04,12:43,1880,Amazon,Groceries,0,Legitimate
T00068,2025-06-28,18:25,1795,Amazon,Fuel,0,Legitimate
T00069,2025-04-02,10:36,696,BestBuy,Clothing,0,Legitimate
T00070,2025-03-23,05:55,62691,Starbucks,Luxury,1,"High-value transaction, Odd transaction hour, Risky category"
T00071,2025-02-03,12:22,24190,Apple,Gambling,1,Risky category
T00072,2025-08-16,23:42,27038,Nike,Gambling,1,"Odd transaction hour, Risky category"
T00073,2025-03-02,11:13,163,Apple,Clothing,0,Legitimate
T00074,2025-02-14,16:40,382,Walmart,Dining,0,Legitimate
T00075,2025-08-13,00:36,16966,BestBuy,Gambling,1,"Odd transaction hour, Risky category"
T00076,2025-05-05,02:00,31733,eBay,Gambling,1,"Odd transaction hour, Risky category"
T00077,2025-02-20,21:42,7836,Walmart,Gambling,1,Risky category
T00078,2025-04-14,10:49,1299,Amazon,Fuel,0,Legitimate
T00079,2025-08-21,05:54,39663,eBay,Gambling,1,"Odd transaction hour, Risky category"
T00080,2025-02-19,00:55,1260,Apple,Electronics,1,Odd transaction hour
T00081,2025-08-20,14:38,1157,Target,Dining,0,Legitimate
T00082,2025-06-26,17:47,1535,Starbucks,Clothing,0,Legitimate
T00083,2025-07-24,22:48,20068,Apple,Gambling,1,Risky category
T00084,2025-05-19,06:36,508,Walmart,Dining,0,Legitimate
T00085,2025-06-24,04:46,1671,Amazon,Clothing,1,Odd transaction hour
T00086,2025-03-18,04:20,510,Shell,Dining,1,Odd transaction hour
T00087,2025-04-01,08:05,1011,Nike,Fuel,0,Legitimate
T00088,2025-08-19,10:14,9092,Walmart,Luxury,1,Risky category
T00089,2025-05-04,09:12,261,BestBuy,Fuel,0,Legitimate
T00090,2025-06-26,14:05,30447,Amazon,Gambling,1,Risky category
T00091,2025-03-07,03:38,1688,Starbucks,Dining,1,Odd transaction hour
T00092,2025-08-16,00:29,1396,Target,Electronics,1,Odd transaction hour
T00093,2025-06-22,12:56,1031,Nike,Clothing,0,Legitimate
T00094,2025-04-11,10:35,259,Walmart,Dining,0,Legitimate
T00095,2025-05-30,16:18,741,Target,Groceries,0,Legitimate
T00096,2025-01-20,11:37,581,Amazon,Clothing,0,Legitimate
T00097,2025-08-03,15:59,68703,BestBuy,Luxury,1,"High-value transaction, Risky category"
T00098,2025-08-16,06:03,1416,BestBuy,Fuel,0,Legitimate
T00099,2025-08-01,11:44,20661,Nike,Luxury,1,Risky category
T00100,2025-02-25,18:49,105,Amazon,Groceries,0,Legitimate
T00101,2025-01-17,06:37,990,Nike,Groceries,0,Legitimate
T00102,2025-08-11,05:22,1912,Target,Fuel,1,Odd transaction hour
T00103,2025-08-17,10:49,589,eBay,Electronics,0,Legitimate
T00104,2025-02-24,01:51,437,Amazon,Entertainment,1,Odd transaction hour
T00105,2025-08-04,05:13,119,Walmart,Dining,1,Odd transaction hour
T00106,2025-03-12,16:41,11117,eBay,Gambling,1,Risky category
T00107,2025-05-01,17:29,1224,Target,Electronics,0,Legitimate
T00108,2025-02-14,16:27,9215,Shell,Gambling,1,Risky category
T00109,2025-01-18,13:47,1323,Shell,Electronics,0,Legitimate
T00110,2025-05-03,13:59,80,BestBuy,Clothing,0,Legitimate
T00111,2025-02-06,22:54,972,Uber,Clothing,0,Legitimate
T00112,2025-08-05,20:12,549,Starbucks,Fuel,0,Legitimate
T00113,2025-05-12,23:54,2034,BestBuy,Luxury,1,"Odd transaction hour, Risky category"
T00114,2025-05-28,00:43,870,Nike,Dining,1,Odd transaction hour
T00115,2025-05-22,22:50,222,Amazon,Electronics,0,Legitimate
T00116,2025-06-26,22:09,1651,Walmart,Entertainment,0,Legitimate
T00117,2025-07-08,13:37,1777,Uber,Entertainment,0,Legitimate
T00118,2025-03-26,09:42,41870,Shell,Luxury,1,Risky category
T00119,2025-02-12,09:59,18583,Nike,Gambling,1,Risky category
T00120,2025-07-21,07:40,17492,Shell,Gambling,1,Risky category
T00121,2025-06-27,00:57,140,Amazon,Fuel,1,Odd transaction hour
T00122,2025-03-20,00:57,32494,Amazon,Gambling,1,"Odd transaction hour, Risky category"
T00123,2025-07-13,05:59,605,BestBuy,Electronics,1,Odd transaction hour
T00124,2025-04-11,03:31,1054,Amazon,Fuel,1,Odd transaction hour
T00125,2025-07-19,00:39,1945,Walmart,Electronics,1,Odd transaction hour
T00126,2025-05-31,06:57,270,eBay,Clothing,0,Legitimate
T00127,2025-06-28,23:23,40458,Target,Gambling,1,"Odd transaction hour, Risky category"
T00128,2025-07-29,02:38,1691,eBay,Entertainment,1,Odd transaction hour
T00129,2025-01-30,01:18,41122,Uber,Gambling,1,"Odd transaction hour, Risky category"
T00130,2025-03-04,01:43,529,BestBuy,Electronics,1,Odd transaction hour
T00131,2025-08-27,00:30,978,Uber,Entertainment,1,Odd transaction hour
T00132,2025-01-01,19:00,705,Uber,Groceries,0,Legitimate
T00133,2025-04-07,07:22,830,Apple,Electronics,0,Legitimate
T00134,2025-03-31,03:58,1643,Walmart,Electronics,1,Odd transaction hour
T00135,2025-02-15,15:51,519,eBay,Entertainment,0,Legitimate
T00136,2025-01-24,03:05,740,Starbucks,Electronics,1,Odd transaction hour
T00137,2025-02-27,11:00,1058,Nike,Electronics,0,Legitimate
T00138,2025-05-28,16:19,1819,Uber,Dining,0,Legitimate
T00139,2025-04-23,16:30,1047,Starbucks,Electronics,0,Legitimate
T00140,2025-05-11,06:05,387,Shell,Dining,0,Legitimate
T00141,2025-04-25,09:49,1048,Shell,Fuel,0,Legitimate
T00142,2025-02-28,22:51,1803,Target,Groceries,0,Legitimate
T00143,2025-08-02,00:31,34774,Starbucks,Gambling,1,"Odd transaction hour, Risky category"
T00144,2025-05-01,18:48,1463,Starbucks,Fuel,0,Legitimate
T00145,2025-08-09,11:41,663,BestBuy,Clothing,0,Legitimate
T00146,2025-03-23,18:26,731,eBay,Entertainment,0,Legitimate
T00147,2025-06-16,10:25,321,Amazon,Clothing,0,Legitimate
T00148,2025-06-10,16:10,120,Shell,Clothing,0,Legitimate
T00149,2025-01-17,23:28,1368,Starbucks,Dining,1,Odd transaction hour
T00150,2025-01-30,12:21,138,Walmart,Groceries,0,Legitimate
T00151,2025-07-27,05:48,1946,Amazon,Entertainment,1,Odd transaction hour
T00152,2025-06-20,23:00,25446,Uber,Luxury,1,"Odd transaction hour, Risky category"
T00153,2025-05-01,12:00,22480,BestBuy,Luxury,1,Risky category
T00154,2025-02-03,17:50,439,Shell,Fuel,0,Legitimate
T00155,2025-04-16,03:40,952,eBay,Electronics,1,Odd transaction hour
T00156,2025-04-18,19:55,1554,Amazon,Entertainment,0,Legitimate
T00157,2025-03-23,08:37,1733,Amazon,Dining,0,Legitimate
T00158,2025-03-03,18:08,1327,Walmart,Fuel,0,Legitimate
T00159,2025-03-16,05:44,1322,Amazon,Clothing,1,Odd transaction hour
T00160,2025-02-19,06:03,617,eBay,Dining,0,Legitimate
T00161,2025-06-25,18:11,17852,Target,Luxury,1,Risky category
T00162,2025-05-12,20:55,299,Uber,Fuel,0,Legitimate
T00163,2025-03-09,00:00,7068,Starbucks,Gambling,1,"Odd transaction hour, Risky category"
T00164,2025-02-04,02:16,1323,Amazon,Groceries,1,Odd transaction hour
T00165,2025-02-28,11:48,1328,eBay,Entertainment,0,Legitimate
T00166,2025-07-15,11:54,765,Target,Entertainment,0,Legitimate
T00167,2025-01-26,02:51,656,Walmart,Dining,1,Odd transaction hour
T00168,2025-04-07,23:12,1794,Shell,Groceries,1,Odd transaction hour
T00169,2025-07-24,15:38,1824,Starbucks,Dining,0,Legitimate
T00170,2025-05-13,21:06,1817,Target,Groceries,0,Legitimate
T00171,2025-07-11,11:38,531,Nike,Groceries,0,Legitimate
T00172,2025-04-28,08:37,311,Walmart,Clothing,0,Legitimate
T00173,2025-03-02,00:08,1909,Shell,Clothing,1,Odd transaction hour
T00174,2025-04-03,18:13,1999,Walmart,Groceries,0,Legitimate
T00175,2025-02-13,23:54,41970,Target,Luxury,1,"Odd transaction hour, Risky category"
T00176,2025-05-13,06:42,1493,Target,Clothing,0,Legitimate
T00177,2025-06-25,07:56,1119,eBay,Clothing,0,Legitimate
T00178,2025-07-31,15:46,1715,BestBuy,Dining,0,Legitimate
T00179,2025-07-25,23:47,13007,BestBuy,Luxury,1,"Odd transaction hour, Risky category"
T00180,2025-08-22,13:52,1283,Target,Groceries,0,Legitimate
T00181,2025-06-10,18:39,27645,Target,Gambling,1,Risky category
T00182,2025-05-24,22:06,1100,Apple,Dining,0,Legitimate
T00183,2025-03-06,15:41,49248,Uber,Luxury,1,Risky category
T00184,2025-08-13,07:17,1144,Nike,Dining,0,Legitimate
T00185,2025-07-22,09:27,1965,Shell,Entertainment,0,Legitimate
T00186,2025-01-16,20:49,41607,Apple,Gambling,1,Risky category
T00187,2025-06-09,04:07,40434,Uber,Gambling,1,"Odd transaction hour, Risky category"
T00188,2025-01-05,17:24,1470,Shell,Clothing,0,Legitimate
T00189,2025-01-02,01:14,491,Apple,Clothing,1,Odd transaction hour
T00190,2025-02-20,04:58,279,Amazon,Groceries,1,Odd transaction hour
T00191,2025-03-24,15:18,1400,Uber,Entertainment,0,Legitimate
T00192,2025-04-28,19:34,1502,Amazon,Fuel,0,Legitimate
T00193,2025-03-08,23:16,299,Nike,Entertainment,1,Odd transaction hour
T00194,2025-02-10,15:41,1621,Starbucks,Clothing,0,Legitimate
T00195,2025-08-11,20:14,25753,Target,Luxury,1,Risky category
T00196,2025-03-22,19:49,595,Amazon,Entertainment,0,Legitimate
T00197,2025-03-16,02:55,1123,eBay,Entertainment,1,Odd transaction hour
T00198,2025-03-23,11:53,33224,Uber,Gambling,1,Risky category
T00199,2025-05-17,19:27,1125,Walmart,Entertainment,0,Legitimate
T00200,2025-04-29,01:48,555,Uber,Clothing,1,Odd transaction hour
T00201,2025-08-05,03:55,885,Amazon,Groceries,1,Odd transaction hour
T00202,2025-01-21,01:17,1572,Shell,Fuel,1,Odd transaction hour
T00203,2025-01-16,01:52,1133,eBay,Clothing,1,Odd transaction hour
T00204,2025-03-28,08:47,36325,eBay,Luxury,1,Risky category
T00205,2025-06-20,02:32,25212,Apple,Gambling,1,"Odd transaction hour, Risky category"
T00206,2025-08-14,13:51,48160,Starbucks,Gambling,1,Risky category
T00207,2025-05-02,20:31,86,eBay,Electronics,0,Legitimate
T00208,2025-04-29,07:07,28724,Target,Luxury,1,Risky category
T00209,2025-04-20,22:58,35864,Uber,Gambling,1,Risky category
T00210,2025-04-01,10:48,5525,Walmart,Luxury,1,Risky category
T00211,2025-08-07,19:37,1682,Target,Fuel,0,Legitimate
T00212,2025-04-21,03:02,1853,Target,Dining,1,Odd transaction hour
T00213,2025-05-23,07:44,994,Target,Groceries,0,Legitimate
T00214,2025-04-12,03:10,1013,Uber,Clothing,1,Odd transaction hour
T00215,2025-06-25,12:22,11239,BestBuy,Gambling,1,Risky category
T00216,2025-05-19,15:57,51,Uber,Fuel,0,Legitimate
T00217,2025-08-11,17:37,1336,Apple,Fuel,0,Legitimate
T00218,2025-08-27,01:02,1897,Target,Entertainment,1,Odd transaction hour
T00219,2025-02-04,01:00,531,eBay,Fuel,1,Odd transaction hour
T00220,2025-08-17,18:14,395,Uber,Entertainment,0,Legitimate
T00221,2025-03-28,04:40,1884,Starbucks,Entertainment,1,Odd transaction hour
T00222,2025-07-27,23:58,827,Nike,Clothing,1,Odd transaction hour
T00223,2025-03-04,01:38,170,eBay,Electronics,1,Odd transaction hour
T00224,2025-01-09,13:32,1885,Amazon,Entertainment,0,Legitimate
T00225,2025-07-12,08:53,908,eBay,Fuel,0,Legitimate
T00226,2025-02-10,15:10,3504,Target,Luxury,1,Risky category
T00227,2025-03-28,05:18,677,Nike,Groceries,1,Odd transaction hour
T00228,2025-08-28,17:12,1708,Nike,Clothing,0,Legitimate
T00229,2025-03-19,20:00,9710,Walmart,Gambling,1,Risky category
T00230,2025-06-02,07:00,29865,Amazon,Luxury,1,Risky category
T00231,2025-05-05,00:36,30553,Uber,Luxury,1,"Odd transaction hour, Risky category"
T00232,2025-05-28,23:30,930,BestBuy,Entertainment,1,Odd transaction hour
T00233,2025-02-26,17:12,516,Starbucks,Fuel,0,Legitimate
T00234,2025-05-27,16:49,62602,Walmart,Luxury,1,"High-value transaction, Risky category"
T00235,2025-06-16,21:12,19315,Amazon,Gambling,1,Risky category
T00236,2025-07-08,15:22,645,Walmart,Entertainment,0,Legitimate
T00237,2025-08-04,15:00,24022,Apple,Gambling,1,Risky category
T00238,2025-08-20,22:35,1426,Uber,Entertainment,0,Legitimate
T00239,2025-08-20,20:51,1797,Apple,Dining,0,Legitimate
T00240,2025-06-04,10:05,410,BestBuy,Electronics,0,Legitimate
T00241,2025-02-04,05:04,180,Target,Entertainment,1,Odd transaction hour
T00242,2025-07-21,19:40,800,Shell,Groceries,0,Legitimate
T00243,2025-06-13,14:42,1201,Target,Fuel,0,Legitimate
T00244,2025-01-27,06:46,27696,BestBuy,Luxury,1,Risky category
T00245,2025-01-11,04:39,199,Shell,Fuel,1,Odd transaction hour
T00246,2025-07-13,08:35,1137,eBay,Fuel,0,Legitimate
T00247,2025-08-31,03:41,341,Shell,Fuel,1,Odd transaction hour
T00248,2025-06-20,01:33,1064,Amazon,Groceries,1,Odd transaction hour
T00249,2025-03-03,12:03,1536,BestBuy,Groceries,0,Legitimate
T00250,2025-02-04,15:21,159,Starbucks,Fuel,0,Legitimate
T00251,2025-01-01,17:49,949,Amazon,Groceries,0,Legitimate
T00252,2025-05-08,16:33,589,Amazon,Fuel,0,Legitimate
T00253,2025-04-15,08:53,709,Apple,Dining,0,Legitimate
T00254,2025-01-23,04:50,701,Nike,Electronics,1,Odd transaction hour
T00255,2025-06-14,16:43,39560,Amazon,Gambling,1,Risky category
T00256,2025-05-02,10:45,1274,eBay,Entertainment,0,Legitimate
T00257,2025-05-06,23:59,30845,Shell,Gambling,1,"Odd transaction hour, Risky category"
T00258,2025-04-20,09:51,164,BestBuy,Electronics,0,Legitimate
T00259,2025-01-19,15:44,31631,Starbucks,Luxury,1,Risky category
T00260,2025-02-15,15:18,521,Uber,Electronics,0,Legitimate
T00261,2025-06-14,11:58,1367,Uber,Entertainment,0,Legitimate
T00262,2025-03-08,03:24,617,Shell,Dining,1,Odd transaction hour
T00263,2025-07-06,03:40,1759,Nike,Entertainment,1,Odd transaction hour
T00264,2025-02-17,01:01,4745,Shell,Gambling,1,"Odd transaction hour, Risky category"
T00265,2025-02-13,07:30,1888,Starbucks,Clothing,0,Legitimate
T00266,2025-02-23,14:14,693,Shell,Clothing,0,Legitimate
T00267,2025-06-12,13:25,21195,eBay,Luxury,1,Risky category
T00268,2025-07-21,23:33,841,Starbucks,Clothing,1,Odd transaction hour
T00269,2025-04-27,01:02,33921,Uber,Gambling,1,"Odd transaction hour, Risky category"
T00270,2025-03-26,14:05,1122,Shell,Groceries,0,Legitimate
T00271,2025-05-25,11:41,1517,Uber,Entertainment,0,Legitimate
T00272,2025-04-17,02:41,676,BestBuy,Entertainment,1,Odd transaction hour
T00273,2025-01-13,07:13,1999,BestBuy,Electronics,0,Legitimate
T00274,2025-07-22,05:12,940,BestBuy,Dining,1,Odd transaction hour
T00275,2025-06-19,07:13,315,Uber,Electronics,0,Legitimate
T00276,2025-01-07,09:08,1967,Starbucks,Fuel,0,Legitimate
T00277,2025-06-10,02:27,1267,Shell,Groceries,1,Odd transaction hour
T00278,2025-02-14,08:50,1863,Nike,Entertainment,0,Legitimate
T00279,2025-07-05,07:48,1718,Shell,Groceries,0,Legitimate
T00280,2025-08-14,15:47,3071,Shell,Luxury,1,Risky category
T00281,2025-03-12,09:20,500,Target,Clothing,0,Legitimate
T00282,2025-02-04,11:05,4284,Shell,Luxury,1,Risky category
T00283,2025-05-15,23:33,960,Target,Groceries,1,Odd transaction hour
T00284,2025-07-21,19:44,335,eBay,Fuel,0,Legitimate
T00285,2025-06-10,03:26,1879,Walmart,Groceries,1,Odd transaction hour
T00286,2025-08-04,23:05,901,Shell,Entertainment,1,Odd transaction hour
T00287,2025-07-11,01:53,94,Uber,Dining,1,Odd transaction hour
T00288,2025-03-06,03:43,435,Starbucks,Dining,1,Odd transaction hour
T00289,2025-05-17,15:42,12899,Apple,Gambling,1,Risky category
T00290,2025-03-22,09:56,84,eBay,Fuel,0,Legitimate
T00291,2025-02-02,20:23,638,BestBuy,Groceries,0,Legitimate
T00292,2025-02-10,16:49,1024,Shell,Dining,0,Legitimate
T00293,2025-01-07,00:50,1689,Amazon,Dining,1,Odd transaction hour
T00294,2025-02-14,21:13,17116,eBay,Gambling,1,Risky category
T00295,2025-08-24,09:57,436,Apple,Electronics,0,Legitimate
T00296,2025-06-20,14:37,1881,Walmart,Fuel,0,Legitimate
T00297,2025-07-08,04:47,191,BestBuy,Fuel,1,Odd transaction hour
T00298,2025-07-13,12:10,396,BestBuy,Dining,0,Legitimate
T00299,2025-02-24,21:12,731,Walmart,Entertainment,0,Legitimate
T00300,2025-02-10,08:59,19880,Walmart,Gambling,1,Risky category
T00301,2025-06-14,08:38,1680,Walmart,Electronics,0,Legitimate
T00302,2025-07-17,23:32,196,Amazon,Fuel,1,Odd transaction hour
T00303,2025-08-22,19:15,1037,Starbucks,Entertainment,0,Legitimate
T00304,2025-01-26,22:03,26792,eBay,Luxury,1,Risky category
T00305,2025-02-14,10:31,282,eBay,Dining,0,Legitimate
T00306,2025-02-09,18:51,1798,Amazon,Fuel,0,Legitimate
T00307,2025-08-04,11:53,889,eBay,Fuel,0,Legitimate
T00308,2025-02-28,00:28,46101,Walmart,Luxury,1,"Odd transaction hour, Risky category"
T00309,2025-05-24,20:55,1342,Amazon,Dining,0,Legitimate
T00310,2025-04-28,16:37,111,Shell,Clothing,0,Legitimate
T00311,2025-07-22,22:23,737,eBay,Clothing,0,Legitimate
T00312,2025-08-29,04:12,497,Shell,Entertainment,1,Odd transaction hour
T00313,2025-06-16,23:11,497,Walmart,Entertainment,1,Odd transaction hour
T00314,2025-02-09,15:22,42456,Shell,Gambling,1,Risky category
T00315,2025-06-02,00:17,610,Uber,Groceries,1,Odd transaction hour
T00316,2025-04-09,21:04,64447,Nike,Luxury,1,"High-value transaction, Risky category"
T00317,2025-03-30,11:49,929,Nike,Entertainment,0,Legitimate
T00318,2025-06-21,18:02,250,Amazon,Fuel,0,Legitimate
T00319,2025-05-01,12:41,739,Target,Groceries,0,Legitimate
T00320,2025-05-08,23:53,1133,eBay,Clothing,1,Odd transaction hour
T00321,2025-04-06,15:12,274,eBay,Groceries,0,Legitimate
T00322,2025-04-03,05:13,1887,Shell,Electronics,1,Odd transaction hour
T00323,2025-02-05,14:40,588,BestBuy,Dining,0,Legitimate
T00324,2025-04-24,09:51,505,Shell,Electronics,0,Legitimate
T00325,2025-02-13,14:38,1525,Shell,Dining,0,Legitimate
T00326,2025-05-13,00:16,122,Apple,Clothing,1,Odd transaction hour
T00327,2025-05-21,04:43,1025,Amazon,Entertainment,1,Odd transaction hour
T00328,2025-08-30,03:29,29564,BestBuy,Gambling,1,"Odd transaction hour, Risky category"
T00329,2025-02-09,11:48,55575,Starbucks,Luxury,1,"High-value transaction, Risky category"
T00330,2025-06-10,22:37,30537,Apple,Gambling,1,Risky category
T00331,2025-01-30,13:03,240,Amazon,Entertainment,0,Legitimate
T00332,2025-06-13,07:18,715,Starbucks,Clothing,0,Legitimate
T00333,2025-06-26,03:43,758,Target,Entertainment,1,Odd transaction hour
T00334,2025-06-01,22:34,26691,Apple,Luxury,1,Risky category
T00335,2025-01-06,15:39,11836,Target,Gambling,1,Risky category
T00336,2025-07-17,03:48,1107,Shell,Fuel,1,Odd transaction hour
T00337,2025-05-07,20:22,1463,Target,Entertainment,0,Legitimate
T00338,2025-03-14,03:52,1608,Walmart,Entertainment,1,Odd transaction hour
T00339,2025-08-04,15:06,54211,eBay,Luxury,1,"High-value transaction, Risky category"
T00340,2025-01-14,22:23,429,eBay,Dining,0,Legitimate
T00341,2025-02-05,06:45,1663,Walmart,Fuel,0,Legitimate
T00342,2025-06-21,08:28,1148,BestBuy,Electronics,0,Legitimate
T00343,2025-02-26,12:17,459,Target,Groceries,0,Legitimate
T00344,2025-02-25,07:50,14400,BestBuy,Luxury,1,Risky category
T00345,2025-02-23,12:44,1860,Walmart,Groceries,0,Legitimate
T00346,2025-07-21,02:58,1328,Starbucks,Electronics,1,Odd transaction hour
T00347,2025-07-31,19:20,36086,Shell,Gambling,1,Risky category
T00348,2025-02-18,21:51,1114,Shell,Electronics,0,Legitimate
T00349,2025-07-06,04:50,25305,Apple,Gambling,1,"Odd transaction hour, Risky category"
T00350,2025-01-15,03:49,1755,Starbucks,Fuel,1,Odd transaction hour
T00351,2025-02-28,17:24,168,eBay,Electronics,0,Legitimate
T00352,2025-05-20,05:25,30479,Nike,Gambling,1,"Odd transaction hour, Risky category"
T00353,2025-08-26,18:14,880,Uber,Electronics,0,Legitimate
T00354,2025-02-02,14:29,321,Amazon,Fuel,0,Legitimate
T00355,2025-08-30,18:38,48757,Walmart,Gambling,1,Risky category
T00356,2025-04-13,02:37,866,BestBuy,Dining,1,Odd transaction hour
T00357,2025-02-19,02:07,58819,BestBuy,Luxury,1,"High-value transaction, Odd transaction hour, Risky category"
T00358,2025-08-22,00:12,647,Target,Entertainment,1,Odd transaction hour
T00359,2025-07-20,06:06,1833,Uber,Fuel,0,Legitimate
T00360,2025-03-14,17:33,645,Walmart,Groceries,0,Legitimate
T00361,2025-07-16,09:57,217,Target,Electronics,0,Legitimate
T00362,2025-03-21,17:01,1803,Starbucks,Electronics,0,Legitimate
T00363,2025-02-11,13:38,287,Amazon,Electronics,0,Legitimate
T00364,2025-08-10,09:42,1879,Target,Fuel,0,Legitimate
T00365,2025-07-30,14:12,1848,Nike,Electronics,0,Legitimate
T00366,2025-01-16,18:28,868,Starbucks,Electronics,0,Legitimate
T00367,2025-06-12,07:12,917,Walmart,Fuel,0,Legitimate
T00368,2025-07-14,17:56,1780,Walmart,Electronics,0,Legitimate
T00369,2025-06-29,03:47,1079,Shell,Dining,1,Odd transaction hour
T00370,2025-04-24,23:25,153,Starbucks,Dining,1,Odd transaction hour
T00371,2025-04-12,00:07,723,eBay,Groceries,1,Odd transaction hour
T00372,2025-07-23,00:09,468,eBay,Entertainment,1,Odd transaction hour
T00373,2025-07-01,19:12,31929,eBay,Gambling,1,Risky category
T00374,2025-02-10,13:25,752,Walmart,Groceries,0,Legitimate
T00375,2025-03-05,04:58,1044,Shell,Fuel,1,Odd transaction hour
T00376,2025-02-01,09:41,622,Shell,Gambling,1,Risky category
T00377,2025-08-06,17:26,559,Walmart,Clothing,0,Legitimate
